crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
corn,,,,,skip,,,
corn,5,1,5,15,fertilizer,comp_manure,broadcast,15000
corn,5,2,5,16,tillage,plow25,,
corn,5,3,5,17,tillage,chisplow,,
corn,5,4,5,18,plant,corn,,
corn,5,5,5,19,fertilizer,7:20:30,broadcast,300
corn,6,1,6,10,fertilizer,elem_n,broadcast,43
corn,10,1,11,10,harvest_only,corn,grain,
corn,10,1,11,10,kill_only,corn,,
corn_cons,,,,,skip,,,
corn_cons,5,1,5,15,fertilizer,comp_manure,broadcast,15000
corn_cons,5,2,5,16,tillage,plow25,,
corn_cons,5,3,5,17,tillage,chisplow,,
corn_cons,5,4,5,18,plant,corn,,
corn_cons,5,5,5,19,fertilizer,7:20:30,broadcast,300
corn_cons,6,1,6,10,fertilizer,elem_n,broadcast,43
corn_cons,10,1,11,10,harvest_only,corn,grain,
corn_cons,10,1,11,10,kill_only,corn,,
csil,,,,,skip,,,
csil,5,1,5,15,fertilizer,comp_manure,broadcast,15000
csil,5,2,5,16,tillage,plow25,,
csil,5,3,5,17,tillage,chisplow,,
csil,5,4,5,18,plant,csil,,
csil,5,5,5,19,fertilizer,7:20:30,broadcast,300
csil,6,1,6,10,fertilizer,elem_n,broadcast,54
csil,6,20,6,30,fertilizer,elem_n,broadcast,69
csil,9,11,10,30,harvest_only,csil,silage,
csil,9,11,10,30,kill_only,csil,,
csil_cons,,,,,skip,,,
csil_cons,5,1,5,15,fertilizer,comp_manure,broadcast,15000
csil_cons,5,2,5,16,tillage,plow25,,
csil_cons,5,3,5,17,tillage,chisplow,,
csil_cons,5,4,5,18,plant,csil,,
csil_cons,5,5,5,19,fertilizer,7:20:30,broadcast,300
csil_cons,6,1,6,10,fertilizer,elem_n,broadcast,54
csil_cons,6,20,6,30,fertilizer,elem_n,broadcast,69
csil_cons,9,11,10,30,harvest_only,csil,silage,
csil_cons,9,11,10,30,kill_only,csil,,
fesc_0.5yr,8,1,11,10,tillage,chisplow,,
fesc_0.5yr,8,2,11,11,plant,fesc,,
fesc_0.5yr,,,,,skip,,,
fesc_0.5yr,4,1,5,1,harvest_only,fesc,hay_cut_low,
fesc_0.5yr,4,1,5,1,kill_only,fesc,,
fesc_1.5yr,8,1,11,10,tillage,chisplow,,
fesc_1.5yr,8,2,11,11,plant,fesc,,
fesc_1.5yr,,,,,skip,,,
fesc_1.5yr,3,5,4,5,fertilizer,comp_manure,broadcast,12500
fesc_1.5yr,5,5,5,30,harvest_only,fesc,hay_cut_low,
fesc_1.5yr,5,10,6,5,fertilizer,comp_manure,broadcast,10000
fesc_1.5yr,8,10,8,30,harvest_only,fesc,hay_cut_low,
fesc_1.5yr,,,,,skip,,,
fesc_1.5yr,4,1,5,1,kill_only,fesc,,
fesc_1yr,8,1,11,10,tillage,chisplow,,
fesc_1yr,8,2,11,11,plant,fesc,,
fesc_1yr,,,,,skip,,,
fesc_1yr,3,5,4,5,fertilizer,comp_manure,broadcast,12500
fesc_1yr,5,5,5,30,harvest_only,fesc,hay_cut_low,
fesc_1yr,5,10,6,5,fertilizer,comp_manure,broadcast,10000
fesc_1yr,8,10,8,30,harvest_only,fesc,hay_cut_low,
fesc_1yr,8,10,8,30,kill_only,fesc,,
fesc_2.5yr,8,1,11,10,tillage,chisplow,,
fesc_2.5yr,8,2,11,11,plant,fesc,,
fesc_2.5yr,,,,,skip,,,
fesc_2.5yr,3,5,4,5,fertilizer,comp_manure,broadcast,12500
fesc_2.5yr,5,5,5,30,harvest_only,fesc,hay_cut_low,
fesc_2.5yr,5,10,6,5,fertilizer,comp_manure,broadcast,10000
fesc_2.5yr,8,10,8,30,harvest_only,fesc,hay_cut_low,
fesc_2.5yr,,,,,skip,,,
fesc_2.5yr,3,5,4,5,fertilizer,comp_manure,broadcast,12500
fesc_2.5yr,5,5,5,30,harvest_only,fesc,hay_cut_low,
fesc_2.5yr,5,10,6,5,fertilizer,comp_manure,broadcast,10000
